12÷2=？  	12÷2=？  <br>谜底：<font color="#FFFFFF">商陆  </font>\n
说鸟不是鸟，躲在树上叫， 自称啥都知，其实全不晓。 	说鸟不是鸟，躲在树上叫， 自称啥都知，其实全不晓。 <br>谜底：<font color="#FFFFFF">知了</font>\n
说是星，不是星，阳光照得亮晶晶， 会说会唱会拍照，科学天地显本领。 （打一先进科技物）  	说是星，不是星，阳光照得亮晶晶， 会说会唱会拍照，科学天地显本领。 （打一先进科技物）  <br>谜底：<font color="#FFFFFF">人造卫星  </font>\n
说说搬家事。  	说说搬家事。  <br>谜底：<font color="#FFFFFF">谈迁</font>\n
说它多大有多大， 日月星球全容纳， 无人知它始和终， 也没左右和上下（打一星座） 	说它多大有多大， 日月星球全容纳， 无人知它始和终， 也没左右和上下（打一星座） <br>谜底：<font color="#FFFFFF">宇宙</font>\n
说它是虎它不象， 金钱印在黄袄上， 站在山上吼一声， 吓跑猴子吓跑狼。 	说它是虎它不象， 金钱印在黄袄上， 站在山上吼一声， 吓跑猴子吓跑狼。 <br>谜底：<font color="#FFFFFF">金钱豹</font>\n
说它是马猜错了， 穿的衣服净道道， 把它放进动物园， 大人小孩都爱瞧。 	说它是马猜错了， 穿的衣服净道道， 把它放进动物园， 大人小孩都爱瞧。 <br>谜底：<font color="#FFFFFF">斑马</font>\n
说天（三字俗语）	说天（三字俗语）<br>谜底：<font color="#FFFFFF">讲空话</font>\n
说与旁人浑不解（现代文人）	说与旁人浑不解（现代文人）<br>谜底：<font color="#FFFFFF">朱自清</font>\n
斯巴达克传。 （打一国产故事片名）  #############      </td>	斯巴达克传。 （打一国产故事片名）  #############      </td><br>谜底：<font color="#FFFFFF">从奴隶到将军  </font>\n
撕掉画皮（字）	撕掉画皮（字）<br>谜底：<font color="#FFFFFF">田</font>\n
思过（三字俗语）	思过（三字俗语）<br>谜底：<font color="#FFFFFF">想当初</font>\n
思家步月清宵立 （打外国影片名一）  	思家步月清宵立 （打外国影片名一）  <br>谜底：<font color="#FFFFFF">望乡  </font>\n
思无邪（字）	思无邪（字）<br>谜底：<font color="#FFFFFF">怔</font>\n
思想完全一致。（打宁夏一地名）  	思想完全一致。（打宁夏一地名）  <br>谜底：<font color="#FFFFFF">同心  </font>\n
司机。  	司机。  <br>谜底：<font color="#FFFFFF">车前子  </font>\n
四（五字俗语）	四（五字俗语）<br>谜底：<font color="#FFFFFF">少来这一套</font>\n
四处搜罗人才（称谓）	四处搜罗人才（称谓）<br>谜底：<font color="#FFFFFF">出纳员</font>\n
四川百姓（外国地名）	四川百姓（外国地名）<br>谜底：<font color="#FFFFFF">巴黎</font>\n
四方来合作，贡献大一点 (字) 	四方来合作，贡献大一点 (字) <br>谜底：<font color="#FFFFFF">器</font>\n
四鬼成帮。 （成语）	四鬼成帮。 （成语）<br>谜底：<font color="#FFFFFF">魑魅魍魉 </font>\n
四海为家。 （打一国产故事片名）  	四海为家。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">水上春秋</font>\n
四海为家。 （打一国产故事片名）  	四海为家。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">水上春秋</font>\n
四化蓝图（摄影词语）	四化蓝图（摄影词语）<br>谜底：<font color="#FFFFFF">中远景</font>\n
四季花开	四季花开<br>谜底：<font color="#FFFFFF">长春</font>\n
四季如春。（打一物理名词）  	四季如春。（打一物理名词）  <br>谜底：<font color="#FFFFFF">恒温</font>\n
四季素描（美术词语）	四季素描（美术词语）<br>谜底：<font color="#FFFFFF">年画</font>\n
四季它常绿，总是不开花， 摊开一只手，满手刺来扎。 	四季它常绿，总是不开花， 摊开一只手，满手刺来扎。 <br>谜底：<font color="#FFFFFF">仙人掌</font>\n
四面不透风,里面刺骨寒（字）	四面不透风,里面刺骨寒（字）<br>谜底：<font color="#FFFFFF">图</font>\n
四面都是山，山山接相连（字）	四面都是山，山山接相连（字）<br>谜底：<font color="#FFFFFF">田</font>\n
四面屯粮。  	四面屯粮。  <br>谜底：<font color="#FFFFFF">周仓</font>\n
四撇一弯钩，虫在肚中留（字）	四撇一弯钩，虫在肚中留（字）<br>谜底：<font color="#FFFFFF">蜀</font>\n
四平调（三字影片名）	四平调（三字影片名）<br>谜底：<font color="#FFFFFF">两对半</font>\n
四人帮办教育。 （打国产故事片名一）  	四人帮办教育。 （打国产故事片名一）  <br>谜底：<font color="#FFFFFF">桃李劫  </font>\n
四色。 (成语)	四色。 (成语)<br>谜底：<font color="#FFFFFF">青红皂白 </font>\n
四山纵横，两日稠缪，富由他起脚，累是他领头	四山纵横，两日稠缪，富由他起脚，累是他领头<br>谜底：<font color="#FFFFFF">田</font>\n
四十载的变迁（字）	四十载的变迁（字）<br>谜底：<font color="#FFFFFF">克</font>\n
四四方方一块田，一块一块卖铜钱（食物）	四四方方一块田，一块一块卖铜钱（食物）<br>谜底：<font color="#FFFFFF">豆腐</font>\n
四四方方一块田； 一弯乌水在中间； 黑羽鸟儿来啄食； 一撒撒向白云天。 （打四种文具） 	四四方方一块田； 一弯乌水在中间； 黑羽鸟儿来啄食； 一撒撒向白云天。 （打四种文具） <br>谜底：<font color="#FFFFFF">砚、墨、毛笔、纸 </font>\n
四四方方指挥台，红橙黄绿点将牌， 胸中自有兵百万，手指一按答案来。 （打一电子用具）  	四四方方指挥台，红橙黄绿点将牌， 胸中自有兵百万，手指一按答案来。 （打一电子用具）  <br>谜底：<font color="#FFFFFF">电子计算机  </font>\n
四通八达。 （成语）	四通八达。 （成语）<br>谜底：<font color="#FFFFFF">头头是道 </font>\n
四退八进一（字）	四退八进一（字）<br>谜底：<font color="#FFFFFF">曰 </font>\n
四夕。（打一非洲地名） 	四夕。（打一非洲地名） <br>谜底：<font color="#FFFFFF">开罗 </font>\n
四夕相加。  	四夕相加。  <br>谜底：<font color="#FFFFFF">罗成</font>\n
四月将尽五月初， 刮破窗纸再重糊， 丈夫进京三年整， 捎封信来半字无。（打四种中药） 半夏、防风 当归、白芷  	四月将尽五月初， 刮破窗纸再重糊， 丈夫进京三年整， 捎封信来半字无。（打四种中药） 半夏、防风 当归、白芷  <br>谜底：<font color="#FFFFFF"></font>\n
四月有人把它栽， 八月金花自然开， 早向东来晚向西， 对着太阳笑开怀。 	四月有人把它栽， 八月金花自然开， 早向东来晚向西， 对着太阳笑开怀。 <br>谜底：<font color="#FFFFFF">向日葵</font>\n
似可非可（字）	似可非可（字）<br>谜底：<font color="#FFFFFF">叮</font>\n
似明白,不明白（字）	似明白,不明白（字）<br>谜底：<font color="#FFFFFF">臼</font>\n
松龄鹤寿。 （成语）	松龄鹤寿。 （成语）<br>谜底：<font color="#FFFFFF">各有千秋 </font>\n
松涛。  	松涛。  <br>谜底：<font color="#FFFFFF">林如海</font>\n
送君千里终须别体育（称谓）	送君千里终须别体育（称谓）<br>谜底：<font color="#FFFFFF">得分王</font>\n
送行飞船。 （成语）	送行飞船。 （成语）<br>谜底：<font color="#FFFFFF">天壤之别 </font>\n
宋公明拼命。 （打一国产故事片名）  	宋公明拼命。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">黑三角  </font>\n
宋江先行（字）	宋江先行（字）<br>谜底：<font color="#FFFFFF">杠</font>\n
搜集民歌（中国杂志名）	搜集民歌（中国杂志名）<br>谜底：<font color="#FFFFFF">风采</font>\n
搜求良驹。（打一欧洲地名） 	搜求良驹。（打一欧洲地名） <br>谜底：<font color="#FFFFFF">罗马 </font>\n
苏。 （打外国故事片名一）  	苏。 （打外国故事片名一）  <br>谜底：<font color="#FFFFFF">复活  </font>\n
苏秦苦读（文学名词）	苏秦苦读（文学名词）<br>谜底：<font color="#FFFFFF">悬念</font>\n
苏绣。 （打一国产故事片名）  	苏绣。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">锦上添花  </font>\n
算命先生（字）	算命先生（字）<br>谜底：<font color="#FFFFFF">仆</font>\n
虽称生，其实是姐儿、妹子 （字 ）	虽称生，其实是姐儿、妹子 （字 ）<br>谜底：<font color="#FFFFFF">甥</font>\n
随缘。（打广东一地名）	随缘。（打广东一地名）<br>谜底：<font color="#FFFFFF">丛化</font>\n
随缘。（打广东一地名）  	随缘。（打广东一地名）  <br>谜底：<font color="#FFFFFF">丛化  </font>\n
岁数越来越大，身体越来越小， 面貌日新月异，家家不可缺少。 	岁数越来越大，身体越来越小， 面貌日新月异，家家不可缺少。 <br>谜底：<font color="#FFFFFF">日历 </font>\n
岁岁除夕团圆 （字 ）	岁岁除夕团圆 （字 ）<br>谜底：<font color="#FFFFFF">出</font>\n
岁月如流（二字影片名）	岁月如流（二字影片名）<br>谜底：<font color="#FFFFFF">过年</font>\n
孙男孙女。  	孙男孙女。  <br>谜底：<font color="#FFFFFF">子产</font>\n
孙行者存尘间（字）	孙行者存尘间（字）<br>谜底：<font color="#FFFFFF">在</font>\n
孙中山传（文学体裁）	孙中山传（文学体裁）<br>谜底：<font color="#FFFFFF">记叙文</font>\n
锁边（成语）	锁边（成语）<br>谜底：<font color="#FFFFFF">不解之缘</font>\n
锁门（三字俗语）	锁门（三字俗语）<br>谜底：<font color="#FFFFFF">关系户</font>\n
他们两人都去了。 （打一亚洲国名） 	他们两人都去了。 （打一亚洲国名） <br>谜底：<font color="#FFFFFF">也门 </font>\n
他年共剪西窗蚀。 	他年共剪西窗蚀。 <br>谜底：<font color="#FFFFFF">希腊 </font>\n
他乡生白发俗（称谓）	他乡生白发俗（称谓）<br>谜底：<font color="#FFFFFF">老外</font>\n
它的肚皮长得怪， 能大能小变化快， 肚里装的净是歌， 一张一缩乐开怀。 （打一乐器） 	它的肚皮长得怪， 能大能小变化快， 肚里装的净是歌， 一张一缩乐开怀。 （打一乐器） <br>谜底：<font color="#FFFFFF">手风琴 </font>\n
她朝歧路行。 （打外国影片名一）  	她朝歧路行。 （打外国影片名一）  <br>谜底：<font color="#FFFFFF">走向深渊  </font>\n
踏歌（四字影片名）	踏歌（四字影片名）<br>谜底：<font color="#FFFFFF">边走边唱</font>\n
踏雪寻梅。  	踏雪寻梅。  <br>谜底：<font color="#FFFFFF">探春</font>\n
踏着先烈的足迹前进（二字法律名词二）	踏着先烈的足迹前进（二字法律名词二）<br>谜底：<font color="#FFFFFF">法人、过继</font>\n
胎盘。（白头格）  	胎盘。（白头格）  <br>谜底：<font color="#FFFFFF">莲子肉  </font>\n
泰、衡、恒、嵩。 （打一京剧名）  	泰、衡、恒、嵩。 （打一京剧名）  <br>谜底：<font color="#FFFFFF">少华山  </font>\n
泰山入一画中（字）	泰山入一画中（字）<br>谜底：<font color="#FFFFFF">杖</font>\n
太监骑马	太监骑马<br>谜底：<font color="#FFFFFF">无得顶</font>\n
太星北上映井中 （字） 	太星北上映井中 （字） <br>谜底：<font color="#FFFFFF">莽</font>\n
太阳出来了（字）	太阳出来了（字）<br>谜底：<font color="#FFFFFF">旦</font>\n
太阳升起处。（打广东一地名）  	太阳升起处。（打广东一地名）  <br>谜底：<font color="#FFFFFF">东方  </font>\n
太阳升起照四方。 （打一国产故事片名）  	太阳升起照四方。 （打一国产故事片名）  <br>谜底：<font color="#FFFFFF">红日  </font>\n
太阳西边下，月亮东边挂（字）	太阳西边下，月亮东边挂（字）<br>谜底：<font color="#FFFFFF">明</font>\n
太阳一出换了人间 (字)	太阳一出换了人间 (字)<br>谜底：<font color="#FFFFFF">闪</font>\n
太阳灶（成语）	太阳灶（成语）<br>谜底：<font color="#FFFFFF">热火朝天</font>\n
贪前稍变就成穷 (字) 	贪前稍变就成穷 (字) <br>谜底：<font color="#FFFFFF">贫</font>\n
谈爱（曲艺形式）	谈爱（曲艺形式）<br>谜底：<font color="#FFFFFF">道情</font>\n
谈情说爱悄悄话。 （打音乐名词二）  	谈情说爱悄悄话。 （打音乐名词二）  <br>谜底：<font color="#FFFFFF">男低音、女低音  </font>\n
谈谈消费结构（四字俗语）	谈谈消费结构（四字俗语）<br>谜底：<font color="#FFFFFF">摆花架子</font>\n
谈天的都市。（打山东一地名）  	谈天的都市。（打山东一地名）  <br>谜底：<font color="#FFFFFF">聊城  </font>\n
谈天的都市。（打山东一地名） 	谈天的都市。（打山东一地名） <br>谜底：<font color="#FFFFFF">聊城 </font>\n
碳中之王， 质硬发光， 晶体形状， 用途很广。（打一矿产品）  	碳中之王， 质硬发光， 晶体形状， 用途很广。（打一矿产品）  <br>谜底：<font color="#FFFFFF">钻石  </font>\n
探母。  	探母。  <br>谜底：<font color="#FFFFFF">张妈</font>\n
唐代通宝。  	唐代通宝。  <br>谜底：<font color="#FFFFFF">李时珍</font>\n
桃花潭水深千尺。 （成语）	桃花潭水深千尺。 （成语）<br>谜底：<font color="#FFFFFF">无与伦比 </font>\n
桃李梅。（打北京一地名）	桃李梅。（打北京一地名）<br>谜底：<font color="#FFFFFF">三棵树</font>\n
桃李梅。（打北京一地名）  	桃李梅。（打北京一地名）  <br>谜底：<font color="#FFFFFF">三棵树  </font>\n
讨价还价。（打一数学名词）  	讨价还价。（打一数学名词）  <br>谜底：<font color="#FFFFFF">商数  </font>\n
提笔忘字。 （打一艺术名词）  	提笔忘字。 （打一艺术名词）  <br>谜底：<font color="#FFFFFF">写生  </font>\n
提倡晚婚，人人有份（字）	提倡晚婚，人人有份（字）<br>谜底：<font color="#FFFFFF">日</font>\n
提倡文明家庭（ 美国历任总统 ）	提倡文明家庭（ 美国历任总统 ）<br>谜底：<font color="#FFFFFF">杜鲁门</font>\n
提倡文明家庭（时人）	提倡文明家庭（时人）<br>谜底：<font color="#FFFFFF">杜鲁门</font>\n
提壶接宾侣 (字) 	提壶接宾侣 (字) <br>谜底：<font color="#FFFFFF">鹏</font>\n
提前出发（字）	提前出发（字）<br>谜底：<font color="#FFFFFF">选</font>\n
体检合格通知（打一报纸名）  	体检合格通知（打一报纸名）  <br>谜底：<font color="#FFFFFF">健康报  </font>\n
体态像只船， 奇怪会耕田， 犁耙耖都会， 专门种湖田。 （打一农机） 	体态像只船， 奇怪会耕田， 犁耙耖都会， 专门种湖田。 （打一农机） <br>谜底：<font color="#FFFFFF">机耕船</font>\n
